filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,run_id,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
cfd_tsvdmi_10_dct_01234_16_run1,True,cfd,tsvdmi,10,dct,01234,16,run1,tsvdmi,dct,10,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0027044271118938923,1.8865801393985748e-05,12.625049309664695,0.6969005160499364,2.36640307912603,,,,0.03658237587660551,0.5700225862674415,791.9388172375633,0.18474909801225992,4286.563916999532,4212.773804071412
cfd_tsvdmi_10_dct_01234_32_run1,True,cfd,tsvdmi,10,dct,01234,32,run1,tsvdmi,dct,10,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0014381660148501396,8.67689959704876e-06,12.625049309664695,0.42946104472503066,1.3154287729412317,,,,0.03969442006200552,0.39554045582190156,791.938817237563,0.18474909801226727,4286.563916999359,4212.773804071407
cfd_tsvdmi_10_dct_01234_64_run1,True,cfd,tsvdmi,10,dct,01234,64,run1,tsvdmi,dct,10,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0012191589921712875,8.827075362205505e-06,12.625049309664695,0.44369791680946946,0.6687424110714346,,,,0.030259271850809455,0.3230418348684907,791.9388172375637,0.18474909801227138,4286.563916999268,4212.773804071406
cfd_tsvdmi_10_dct_01234_8_run1,True,cfd,tsvdmi,10,dct,01234,8,run1,tsvdmi,dct,10,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019522551447153091,2.0551029592752457e-05,12.625049309664695,0.9908300191164017,4.676054083043709,,,,0.07894619088619947,0.8650830120313913,791.9388172375652,0.1847490980122504,4286.563916999763,4212.7738040714175
cfd_tsvdmi_20_dct_01234_16_run1,True,cfd,tsvdmi,20,dct,01234,16,run1,tsvdmi,dct,20,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.002581831067800522,1.564016565680504e-05,6.312524654832347,1.6533296178095043,3.424608654109761,,,,0.060819737147539854,0.6849779919721186,423.1523310617572,0.09871597373916013,4286.563916999532,4265.626837785377
cfd_tsvdmi_20_dct_01234_32_run1,True,cfd,tsvdmi,20,dct,01234,32,run1,tsvdmi,dct,20,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0014251701068133116,7.844995707273483e-06,6.312524654832347,0.4573001409880817,1.7151616299524903,,,,0.03890069713816047,0.3704387159086764,423.15233106175657,0.09871597373916396,4286.563916999359,4265.62683778538
cfd_tsvdmi_20_dct_01234_64_run1,True,cfd,tsvdmi,20,dct,01234,64,run1,tsvdmi,dct,20,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0014181151054799557,9.6180010586977e-06,6.312524654832347,0.4438779659103602,0.8692265211138874,,,,0.03313727304339409,0.3231878459919244,423.15233106175646,0.09871597373916603,4286.563916999268,4265.62683778538
cfd_tsvdmi_20_dct_01234_8_run1,True,cfd,tsvdmi,20,dct,01234,8,run1,tsvdmi,dct,20,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019112259615212679,2.5910092517733574e-05,6.312524654832347,1.0546239116229117,6.067017411114648,,,,0.11332545103505254,0.8775045908987522,423.152331061756,0.09871597373915453,4286.563916999763,4265.626837785374
cfd_tsvdmi_40_dct_01234_16_run1,True,cfd,tsvdmi,40,dct,01234,16,run1,tsvdmi,dct,40,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0026661339215934277,1.81649811565876e-05,3.1562623274161736,0.7685264651663601,4.718450956977904,,,,0.0850324418861419,0.6741608928423375,197.8341488666139,0.046152151862718975,4286.563916999532,4281.996247553248
cfd_tsvdmi_40_dct_01234_32_run1,True,cfd,tsvdmi,40,dct,01234,32,run1,tsvdmi,dct,40,None,cfd,/global/cfs/cdirs/m4293/starMData/,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0022314980160444975,1.556985080242157e-05,3.1562623274161736,1.7602585731074214,2.8476151160430163,,,,0.10274811601266265,0.6313172630034387,197.83414886661396,0.04615215186272085,4286.563916999359,4281.996247553251
