filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,run_id,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
cfd_tsvdmii_0.050_dct_01234_1_run3,True,cfd,tsvdmii,0.050,dct,01234,1,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0010422229970572516,9.476003469899297e-06,5.400976454760175,5.58862335201411,,17.088581026997417,0.12189027499698568,39.118136031000176,1.2051917979988502,5.276516421014094,214.32610342301223,0.04999951186380266,4286.563917000447,4281.2024637838185
cfd_tsvdmii_0.050_dct_01234_2_run1,True,cfd,tsvdmii,0.050,dct,01234,2,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0010827660007635131,1.0218995157629251e-05,5.400976454760175,2.8236804399930406,,8.296203749996494,0.1244548310060054,19.994166206000955,1.1803276969876606,2.664172562988824,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
cfd_tsvdmii_0.050_dct_01234_2_run2,True,cfd,tsvdmii,0.050,dct,01234,2,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.002087984001263976,9.491006494499743e-06,5.400976454760175,2.8271427289873827,,8.893642968992935,0.12458164300187491,19.782148304002476,1.1809825709933648,2.664516000004369,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
cfd_tsvdmii_0.050_dct_01234_2_run3,True,cfd,tsvdmii,0.050,dct,01234,2,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0017865739937406033,9.486990165896714e-06,5.400976454760175,2.82314942299854,,8.890693388995714,0.12380187099915929,20.050879681002698,1.1806498660007492,2.659062625010847,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
cfd_tsvdmii_0.050_dct_01234_32_run1,True,cfd,tsvdmii,0.050,dct,01234,32,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0021166829392313957,1.0847114026546478e-05,5.400976454760175,0.2737435633316636,,0.5678662164136767,0.12861619796603918,1.6472993181087077,1.2313011549413204,0.229897930752486,214.32610342301132,0.049999511863816244,4286.563916999264,4281.2024637839095
cfd_tsvdmii_0.050_dct_01234_32_run2,True,cfd,tsvdmii,0.050,dct,01234,32,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020440309308469296,1.0904856026172638e-05,5.400976454760175,0.2795310113579035,,0.5676439991220832,0.1260792138054967,1.6471008537337184,1.243754180148244,0.2349505522288382,214.32610342301132,0.049999511863816244,4286.563916999264,4281.2024637839095
cfd_tsvdmii_0.050_dct_01234_32_run3,True,cfd,tsvdmii,0.050,dct,01234,32,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020925658755004406,1.0045245289802551e-05,5.400976454760175,0.2765592089854181,,0.5678338780999184,0.129079295322299,1.6803879593499005,1.23418531101197,0.23101957608014345,214.32610342301132,0.049999511863816244,4286.563916999264,4281.2024637839095
cfd_tsvdmii_0.050_dct_01234_4_run1,True,cfd,tsvdmii,0.050,dct,01234,4,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019259669934399426,9.000010322779417e-06,5.400976454760175,1.607318360969657,,4.45333323001978,0.1274505520123057,10.182309266994707,1.143829614011338,1.5319473019917496,214.32610342301248,0.049999511863810756,4286.563916999758,4281.202463783896
cfd_tsvdmii_0.050_dct_01234_4_run2,True,cfd,tsvdmii,0.050,dct,01234,4,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019498880137689412,8.641014574095607e-06,5.400976454760175,1.6052524219849147,,4.452350778010441,0.12749433499993756,10.295572790986625,1.1659290159877855,1.5362972489965614,214.32610342301248,0.049999511863810756,4286.563916999758,4281.202463783896
cfd_tsvdmii_0.050_dct_01234_4_run3,True,cfd,tsvdmii,0.050,dct,01234,4,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019370689988136292,9.35301068238914e-06,5.400976454760175,1.6049486100382637,,4.455418370984262,0.12729405600111932,10.271776754001621,1.158680672000628,1.5353590520098805,214.32610342301248,0.049999511863810756,4286.563916999758,4281.202463783896
cfd_tsvdmii_0.050_dct_01234_64_run1,True,cfd,tsvdmii,0.050,dct,01234,64,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020232987590134144,1.1403113603591919e-05,5.400976454760175,0.22423917800188065,,0.3294506650418043,0.127056036144495,1.1139063271693885,1.6844013850204647,0.19179142592474818,214.32610342301135,0.04999951186381734,4286.56391699917,4281.202463783908
cfd_tsvdmii_0.050_dct_01234_64_run2,True,cfd,tsvdmii,0.050,dct,01234,64,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020180903375148773,1.0571908205747604e-05,5.400976454760175,0.23083971766754985,,0.33035780070349574,0.12654086016118526,1.1187081011012197,1.7082106927409768,0.1990809878334403,214.32610342301135,0.04999951186381734,4286.56391699917,4281.202463783908
cfd_tsvdmii_0.050_dct_01234_64_run3,True,cfd,tsvdmii,0.050,dct,01234,64,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020426521077752113,9.567011147737503e-06,5.400976454760175,0.22475184127688408,,0.3306119837798178,0.12614225409924984,1.1170559949241579,1.698022621218115,0.21990319760516286,214.32610342301135,0.04999951186381734,4286.56391699917,4281.202463783908
cfd_tsvdmii_0.050_dct_01234_8_run1,True,cfd,tsvdmii,0.050,dct,01234,8,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0010959760111290962,1.0518007911741734e-05,5.400976454760175,0.7801073180162348,,2.2372124410176184,0.12701472800108604,5.333864992018789,1.0656438330188394,0.7249622079543769,214.32610342301103,0.049999511863813476,4286.563916999496,4281.202463783913
cfd_tsvdmii_0.050_dct_01234_8_run2,True,cfd,tsvdmii,0.050,dct,01234,8,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.00110434100497514,9.95802110992372e-06,5.400976454760175,0.7825519199832343,,2.2388943360128906,0.12485061897314154,5.333563897002023,1.0640058889985085,0.7250332730181981,214.32610342301103,0.049999511863813476,4286.563916999496,4281.202463783913
